timestamp,visible_stores
2026-02-05 12:00:00-05:00,4083251
2026-02-05 13:00:00-05:00,4817752
2026-02-05 14:00:00-05:00,5495765
2026-02-05 15:00:00-05:00,5909922
2026-02-05 16:00:00-05:00,6039551
2026-02-05 17:00:00-05:00,5935235
2026-02-05 18:00:00-05:00,5677604
2026-02-05 19:00:00-05:00,5503167
2026-02-05 20:00:00-05:00,5141406
2026-02-05 21:00:00-05:00,4098403
2026-02-05 22:00:00-05:00,3274758
2026-02-05 23:00:00-05:00,1911315
2026-02-06 00:00:00-05:00,796093
2026-02-06 01:00:00-05:00,665581
2026-02-06 02:00:00-05:00,535070
2026-02-06 03:00:00-05:00,404558
2026-02-06 04:00:00-05:00,274046
2026-02-06 05:00:00-05:00,143534
2026-02-06 06:00:00-05:00,13023
2026-02-06 07:00:00-05:00,40051
2026-02-06 08:00:00-05:00,417948
2026-02-06 09:00:00-05:00,1402319
2026-02-06 10:00:00-05:00,2488965
2026-02-06 11:00:00-05:00,3273401
2026-02-06 12:00:00-05:00,4130872
2026-02-06 13:00:00-05:00,4960667
2026-02-06 14:00:00-05:00,5669756
2026-02-06 15:00:00-05:00,6130066
2026-02-06 16:00:00-05:00,6130941
2026-02-06 17:00:00-05:00,5976293
2026-02-06 18:00:00-05:00,5706893
2026-02-06 19:00:00-05:00,5565122
2026-02-06 20:00:00-05:00,5118093
2026-02-06 21:00:00-05:00,4236533
2026-02-06 22:00:00-05:00,3202172
2026-02-06 23:00:00-05:00,1957615
2026-02-07 00:00:00-05:00,888505
2026-02-07 01:00:00-05:00,742493
2026-02-07 02:00:00-05:00,596481
2026-02-07 03:00:00-05:00,450468
2026-02-07 04:00:00-05:00,304456
2026-02-07 05:00:00-05:00,158444
2026-02-07 06:00:00-05:00,12432
2026-02-07 07:00:00-05:00,35773
2026-02-07 08:00:00-05:00,366525
2026-02-07 09:00:00-05:00,1286937
2026-02-07 10:00:00-05:00,2300337
2026-02-07 11:00:00-05:00,3094871
2026-02-07 12:00:00-05:00,3934229
2026-02-07 13:00:00-05:00,4862092
2026-02-07 14:00:00-05:00,5464554
2026-02-07 15:00:00-05:00,5634979
2026-02-07 16:00:00-05:00,5593932
2026-02-07 17:00:00-05:00,5459281
2026-02-07 18:00:00-05:00,5199549
2026-02-07 19:00:00-05:00,5093007
2026-02-07 20:00:00-05:00,4802919
2026-02-07 21:00:00-05:00,4056638
2026-02-07 22:00:00-05:00,3133473
2026-02-07 23:00:00-05:00,1935768
2026-02-08 00:00:00-05:00,861681
2026-02-08 01:00:00-05:00,720777
2026-02-08 02:00:00-05:00,579874
2026-02-08 03:00:00-05:00,438970
2026-02-08 04:00:00-05:00,298067
2026-02-08 05:00:00-05:00,157164
2026-02-08 06:00:00-05:00,16260
2026-02-08 07:00:00-05:00,37277
2026-02-08 08:00:00-05:00,307786
2026-02-08 09:00:00-05:00,993035
2026-02-08 10:00:00-05:00,1785899
2026-02-08 11:00:00-05:00,2423872
2026-02-08 12:00:00-05:00,3176110
2026-02-08 13:00:00-05:00,3974749
2026-02-08 14:00:00-05:00,4684296
2026-02-08 15:00:00-05:00,4806845
2026-02-08 16:00:00-05:00,4486995
2026-02-08 17:00:00-05:00,4326244
2026-02-08 18:00:00-05:00,3852268
2026-02-08 19:00:00-05:00,3809549
2026-02-08 20:00:00-05:00,3861563
2026-02-08 21:00:00-05:00,3400153
2026-02-08 22:00:00-05:00,2657077
2026-02-08 23:00:00-05:00,1486482
2026-02-09 00:00:00-05:00,582790
2026-02-09 01:00:00-05:00,487820
2026-02-09 02:00:00-05:00,392850
2026-02-09 03:00:00-05:00,297880
2026-02-09 04:00:00-05:00,202909
2026-02-09 05:00:00-05:00,107939
2026-02-09 06:00:00-05:00,12969
2026-02-09 07:00:00-05:00,39391
2026-02-09 08:00:00-05:00,380861
2026-02-09 09:00:00-05:00,1225824
2026-02-09 10:00:00-05:00,2089930
2026-02-09 11:00:00-05:00,2756226
2026-02-09 12:00:00-05:00,3561017
2026-02-09 13:00:00-05:00,4238232
2026-02-09 14:00:00-05:00,4723601
2026-02-09 15:00:00-05:00,4904665
2026-02-09 16:00:00-05:00,5070860
2026-02-09 17:00:00-05:00,4929168
2026-02-09 18:00:00-05:00,4720100
2026-02-09 19:00:00-05:00,4501289
2026-02-09 20:00:00-05:00,4159722
2026-02-09 21:00:00-05:00,3434343
2026-02-09 22:00:00-05:00,2635216
2026-02-09 23:00:00-05:00,1460467
2026-02-10 00:00:00-05:00,546521
2026-02-10 01:00:00-05:00,457195
2026-02-10 02:00:00-05:00,367868
2026-02-10 03:00:00-05:00,278541
2026-02-10 04:00:00-05:00,189214
